phi_transmission,restoration_efficiency,mr,peak_I_high,peak_I_low,delta_peak_I_high,delta_peak_I_low
1.0,0.5789473684210527,0.6578947368421053,0.0009729432144319304,0.0009729432144319304,-0.0016663323078902757,-0.0016663323078902757
1.0,0.5789473684210527,0.6842105263157895,0.0010819049417407475,0.0010819049417407475,-0.0015573705805814588,-0.0015573705805814588
1.0,0.5789473684210527,0.7105263157894737,0.001194699773399726,0.001194699773399726,-0.0014445757489224803,-0.0014445757489224803
1.0,0.5789473684210527,0.7368421052631579,0.0013111391340716585,0.0013111391340716585,-0.0013281363882505478,-0.0013281363882505478
1.0,0.5789473684210527,0.763157894736842,0.0014310047415481847,0.0014310047415481847,-0.0012082707807740216,-0.0012082707807740216
1.0,0.5789473684210527,0.7894736842105263,0.00155419224390158,0.00155419224390158,-0.0010850832784206263,-0.0010850832784206263
1.0,0.5789473684210527,0.8157894736842105,0.0016804719467505562,0.0016804719467505562,-0.0009588035755716501,-0.0009588035755716501
1.0,0.5789473684210527,0.8421052631578947,0.0018097324697066112,0.0018097324697066112,-0.0008295430526155951,-0.0008295430526155951
1.0,0.5789473684210527,0.868421052631579,0.0019417776901648114,0.0019417776901648114,-0.0006974978321573949,-0.0006974978321573949
1.0,0.5789473684210527,0.8947368421052632,0.002076506749691283,0.002076506749691283,-0.0005627687726309232,-0.0005627687726309232
1.0,0.5789473684210527,0.9210526315789473,0.002213744545459733,0.002213744545459733,-0.0004255309768624732,-0.0004255309768624732
1.0,0.5789473684210527,0.9473684210526315,0.0023533773493921556,0.0023533773493921556,-0.00028589817293005063,-0.00028589817293005063
1.0,0.5789473684210527,0.9736842105263157,0.002495260933669582,0.002495260933669582,-0.00014401458865262408,-0.00014401458865262408
1.0,0.5789473684210527,1.0,0.0026392755223222063,0.0026392755223222063,0.0,0.0
1.0,0.631578947368421,0.5,0.000411124659995255,0.0004111246599952548,-0.002228150862326951,-0.0022281508623269515
1.0,0.631578947368421,0.5263157894736842,0.0004926852280051646,0.0004926852280051543,-0.0021465902943170415,-0.002146590294317052
1.0,0.631578947368421,0.5526315789473684,0.0005793922804884058,0.0005793922804884059,-0.0020598832418338006,-0.0020598832418338006
1.0,0.631578947368421,0.5789473684210527,0.0006710037879663317,0.0006710037879663317,-0.0019682717343558745,-0.0019682717343558745
1.0,0.631578947368421,0.6052631578947368,0.0007672791365038843,0.0007672791365038843,-0.001871996385818322,-0.001871996385818322
1.0,0.631578947368421,0.631578947368421,0.0008679961658930593,0.0008679961658930596,-0.001771279356429147,-0.0017712793564291468
1.0,0.631578947368421,0.6578947368421053,0.0009729432144319304,0.0009729432144319304,-0.0016663323078902757,-0.0016663323078902757
1.0,0.631578947368421,0.6842105263157895,0.0010819049417407475,0.0010819049417407475,-0.0015573705805814588,-0.0015573705805814588
1.0,0.631578947368421,0.7105263157894737,0.001194699773399726,0.001194699773399726,-0.0014445757489224803,-0.0014445757489224803
1.0,0.631578947368421,0.7368421052631579,0.0013111391340716585,0.0013111391340716585,-0.0013281363882505478,-0.0013281363882505478
1.0,0.631578947368421,0.763157894736842,0.0014310047415481847,0.0014310047415481847,-0.0012082707807740216,-0.0012082707807740216
1.0,0.631578947368421,0.7894736842105263,0.00155419224390158,0.00155419224390158,-0.0010850832784206263,-0.0010850832784206263
1.0,0.631578947368421,0.8157894736842105,0.0016804719467505562,0.0016804719467505562,-0.0009588035755716501,-0.0009588035755716501
1.0,0.631578947368421,0.8421052631578947,0.0018097324697066112,0.0018097324697066112,-0.0008295430526155951,-0.0008295430526155951
1.0,0.631578947368421,0.868421052631579,0.0019417776901648114,0.0019417776901648114,-0.0006974978321573949,-0.0006974978321573949
1.0,0.631578947368421,0.8947368421052632,0.002076506749691283,0.002076506749691283,-0.0005627687726309232,-0.0005627687726309232
1.0,0.631578947368421,0.9210526315789473,0.002213744545459733,0.002213744545459733,-0.0004255309768624732,-0.0004255309768624732
1.0,0.631578947368421,0.9473684210526315,0.0023533773493921556,0.0023533773493921556,-0.00028589817293005063,-0.00028589817293005063
1.0,0.631578947368421,0.9736842105263157,0.002495260933669582,0.002495260933669582,-0.00014401458865262408,-0.00014401458865262408
1.0,0.631578947368421,1.0,0.0026392755223222063,0.0026392755223222063,0.0,0.0
1.0,0.6842105263157894,0.5,0.000411124659995255,0.0004111246599952548,-0.002228150862326951,-0.0022281508623269515
1.0,0.6842105263157894,0.5263157894736842,0.0004926852280051646,0.0004926852280051543,-0.0021465902943170415,-0.002146590294317052
1.0,0.6842105263157894,0.5526315789473684,0.0005793922804884058,0.0005793922804884059,-0.0020598832418338006,-0.0020598832418338006
1.0,0.6842105263157894,0.5789473684210527,0.0006710037879663317,0.0006710037879663317,-0.0019682717343558745,-0.0019682717343558745
1.0,0.6842105263157894,0.6052631578947368,0.0007672791365038843,0.0007672791365038843,-0.001871996385818322,-0.001871996385818322
1.0,0.6842105263157894,0.631578947368421,0.0008679961658930593,0.0008679961658930596,-0.001771279356429147,-0.0017712793564291468
1.0,0.6842105263157894,0.6578947368421053,0.0009729432144319304,0.0009729432144319304,-0.0016663323078902757,-0.0016663323078902757
1.0,0.6842105263157894,0.6842105263157895,0.0010819049417407475,0.0010819049417407475,-0.0015573705805814588,-0.0015573705805814588
1.0,0.6842105263157894,0.7105263157894737,0.001194699773399726,0.001194699773399726,-0.0014445757489224803,-0.0014445757489224803
1.0,0.6842105263157894,0.7368421052631579,0.0013111391340716585,0.0013111391340716585,-0.0013281363882505478,-0.0013281363882505478
1.0,0.6842105263157894,0.763157894736842,0.0014310047415481847,0.0014310047415481847,-0.0012082707807740216,-0.0012082707807740216
1.0,0.6842105263157894,0.7894736842105263,0.00155419224390158,0.00155419224390158,-0.0010850832784206263,-0.0010850832784206263
1.0,0.6842105263157894,0.8157894736842105,0.0016804719467505562,0.0016804719467505562,-0.0009588035755716501,-0.0009588035755716501
1.0,0.6842105263157894,0.8421052631578947,0.0018097324697066112,0.0018097324697066112,-0.0008295430526155951,-0.0008295430526155951
1.0,0.6842105263157894,0.868421052631579,0.0019417776901648114,0.0019417776901648114,-0.0006974978321573949,-0.0006974978321573949
1.0,0.6842105263157894,0.8947368421052632,0.002076506749691283,0.002076506749691283,-0.0005627687726309232,-0.0005627687726309232
1.0,0.6842105263157894,0.9210526315789473,0.002213744545459733,0.002213744545459733,-0.0004255309768624732,-0.0004255309768624732
1.0,0.6842105263157894,0.9473684210526315,0.0023533773493921556,0.0023533773493921556,-0.00028589817293005063,-0.00028589817293005063
1.0,0.6842105263157894,0.9736842105263157,0.002495260933669582,0.002495260933669582,-0.00014401458865262408,-0.00014401458865262408
1.0,0.6842105263157894,1.0,0.0026392755223222063,0.0026392755223222063,0.0,0.0
1.0,0.7368421052631579,0.5,0.000411124659995255,0.0004111246599952548,-0.002228150862326951,-0.0022281508623269515
1.0,0.7368421052631579,0.5263157894736842,0.0004926852280051646,0.0004926852280051543,-0.0021465902943170415,-0.002146590294317052
1.0,0.7368421052631579,0.5526315789473684,0.0005793922804884058,0.0005793922804884059,-0.0020598832418338006,-0.0020598832418338006
1.0,0.7368421052631579,0.5789473684210527,0.0006710037879663317,0.0006710037879663317,-0.0019682717343558745,-0.0019682717343558745
1.0,0.7368421052631579,0.6052631578947368,0.0007672791365038843,0.0007672791365038843,-0.001871996385818322,-0.001871996385818322
1.0,0.7368421052631579,0.631578947368421,0.0008679961658930593,0.0008679961658930596,-0.001771279356429147,-0.0017712793564291468
1.0,0.7368421052631579,0.6578947368421053,0.0009729432144319304,0.0009729432144319304,-0.0016663323078902757,-0.0016663323078902757
1.0,0.7368421052631579,0.6842105263157895,0.0010819049417407475,0.0010819049417407475,-0.0015573705805814588,-0.0015573705805814588
1.0,0.7368421052631579,0.7105263157894737,0.001194699773399726,0.001194699773399726,-0.0014445757489224803,-0.0014445757489224803
1.0,0.7368421052631579,0.7368421052631579,0.0013111391340716585,0.0013111391340716585,-0.0013281363882505478,-0.0013281363882505478
1.0,0.7368421052631579,0.763157894736842,0.0014310047415481847,0.0014310047415481847,-0.0012082707807740216,-0.0012082707807740216
1.0,0.7368421052631579,0.7894736842105263,0.00155419224390158,0.00155419224390158,-0.0010850832784206263,-0.0010850832784206263
1.0,0.7368421052631579,0.8157894736842105,0.0016804719467505562,0.0016804719467505562,-0.0009588035755716501,-0.0009588035755716501
1.0,0.7368421052631579,0.8421052631578947,0.0018097324697066112,0.0018097324697066112,-0.0008295430526155951,-0.0008295430526155951
1.0,0.7368421052631579,0.868421052631579,0.0019417776901648114,0.0019417776901648114,-0.0006974978321573949,-0.0006974978321573949
1.0,0.7368421052631579,0.8947368421052632,0.002076506749691283,0.002076506749691283,-0.0005627687726309232,-0.0005627687726309232
1.0,0.7368421052631579,0.9210526315789473,0.002213744545459733,0.002213744545459733,-0.0004255309768624732,-0.0004255309768624732
1.0,0.7368421052631579,0.9473684210526315,0.0023533773493921556,0.0023533773493921556,-0.00028589817293005063,-0.00028589817293005063
1.0,0.7368421052631579,0.9736842105263157,0.002495260933669582,0.002495260933669582,-0.00014401458865262408,-0.00014401458865262408
1.0,0.7368421052631579,1.0,0.0026392755223222063,0.0026392755223222063,0.0,0.0
1.0,0.7894736842105263,0.5,0.000411124659995255,0.0004111246599952548,-0.002228150862326951,-0.0022281508623269515
1.0,0.7894736842105263,0.5263157894736842,0.0004926852280051646,0.0004926852280051543,-0.0021465902943170415,-0.002146590294317052
1.0,0.7894736842105263,0.5526315789473684,0.0005793922804884058,0.0005793922804884059,-0.0020598832418338006,-0.0020598832418338006
1.0,0.7894736842105263,0.5789473684210527,0.0006710037879663317,0.0006710037879663317,-0.0019682717343558745,-0.0019682717343558745
1.0,0.7894736842105263,0.6052631578947368,0.0007672791365038843,0.0007672791365038843,-0.001871996385818322,-0.001871996385818322
1.0,0.7894736842105263,0.631578947368421,0.0008679961658930593,0.0008679961658930596,-0.001771279356429147,-0.0017712793564291468
1.0,0.7894736842105263,0.6578947368421053,0.0009729432144319304,0.0009729432144319304,-0.0016663323078902757,-0.0016663323078902757
1.0,0.7894736842105263,0.6842105263157895,0.0010819049417407475,0.0010819049417407475,-0.0015573705805814588,-0.0015573705805814588
1.0,0.7894736842105263,0.7105263157894737,0.001194699773399726,0.001194699773399726,-0.0014445757489224803,-0.0014445757489224803
1.0,0.7894736842105263,0.7368421052631579,0.0013111391340716585,0.0013111391340716585,-0.0013281363882505478,-0.0013281363882505478
1.0,0.7894736842105263,0.763157894736842,0.0014310047415481847,0.0014310047415481847,-0.0012082707807740216,-0.0012082707807740216
1.0,0.7894736842105263,0.7894736842105263,0.00155419224390158,0.00155419224390158,-0.0010850832784206263,-0.0010850832784206263
1.0,0.7894736842105263,0.8157894736842105,0.0016804719467505562,0.0016804719467505562,-0.0009588035755716501,-0.0009588035755716501
1.0,0.7894736842105263,0.8421052631578947,0.0018097324697066112,0.0018097324697066112,-0.0008295430526155951,-0.0008295430526155951
1.0,0.7894736842105263,0.868421052631579,0.0019417776901648114,0.0019417776901648114,-0.0006974978321573949,-0.0006974978321573949
1.0,0.7894736842105263,0.8947368421052632,0.002076506749691283,0.002076506749691283,-0.0005627687726309232,-0.0005627687726309232
1.0,0.7894736842105263,0.9210526315789473,0.002213744545459733,0.002213744545459733,-0.0004255309768624732,-0.0004255309768624732
1.0,0.7894736842105263,0.9473684210526315,0.0023533773493921556,0.0023533773493921556,-0.00028589817293005063,-0.00028589817293005063
1.0,0.7894736842105263,0.9736842105263157,0.002495260933669582,0.002495260933669582,-0.00014401458865262408,-0.00014401458865262408
1.0,0.7894736842105263,1.0,0.0026392755223222063,0.0026392755223222063,0.0,0.0
1.0,0.8421052631578947,0.5,0.000411124659995255,0.0004111246599952548,-0.002228150862326951,-0.0022281508623269515
1.0,0.8421052631578947,0.5263157894736842,0.0004926852280051646,0.0004926852280051543,-0.0021465902943170415,-0.002146590294317052
1.0,0.8421052631578947,0.5526315789473684,0.0005793922804884058,0.0005793922804884059,-0.0020598832418338006,-0.0020598832418338006
1.0,0.8421052631578947,0.5789473684210527,0.0006710037879663317,0.0006710037879663317,-0.0019682717343558745,-0.0019682717343558745
1.0,0.8421052631578947,0.6052631578947368,0.0007672791365038843,0.0007672791365038843,-0.001871996385818322,-0.001871996385818322
1.0,0.8421052631578947,0.631578947368421,0.0008679961658930593,0.0008679961658930596,-0.001771279356429147,-0.0017712793564291468
1.0,0.8421052631578947,0.6578947368421053,0.0009729432144319304,0.0009729432144319304,-0.0016663323078902757,-0.0016663323078902757
1.0,0.8421052631578947,0.6842105263157895,0.0010819049417407475,0.0010819049417407475,-0.0015573705805814588,-0.0015573705805814588
1.0,0.8421052631578947,0.7105263157894737,0.001194699773399726,0.001194699773399726,-0.0014445757489224803,-0.0014445757489224803
1.0,0.8421052631578947,0.7368421052631579,0.0013111391340716585,0.0013111391340716585,-0.0013281363882505478,-0.0013281363882505478
1.0,0.8421052631578947,0.763157894736842,0.0014310047415481847,0.0014310047415481847,-0.0012082707807740216,-0.0012082707807740216
1.0,0.8421052631578947,0.7894736842105263,0.00155419224390158,0.00155419224390158,-0.0010850832784206263,-0.0010850832784206263
1.0,0.8421052631578947,0.8157894736842105,0.0016804719467505562,0.0016804719467505562,-0.0009588035755716501,-0.0009588035755716501
1.0,0.8421052631578947,0.8421052631578947,0.0018097324697066112,0.0018097324697066112,-0.0008295430526155951,-0.0008295430526155951
1.0,0.8421052631578947,0.868421052631579,0.0019417776901648114,0.0019417776901648114,-0.0006974978321573949,-0.0006974978321573949
1.0,0.8421052631578947,0.8947368421052632,0.002076506749691283,0.002076506749691283,-0.0005627687726309232,-0.0005627687726309232
1.0,0.8421052631578947,0.9210526315789473,0.002213744545459733,0.002213744545459733,-0.0004255309768624732,-0.0004255309768624732
1.0,0.8421052631578947,0.9473684210526315,0.0023533773493921556,0.0023533773493921556,-0.00028589817293005063,-0.00028589817293005063
1.0,0.8421052631578947,0.9736842105263157,0.002495260933669582,0.002495260933669582,-0.00014401458865262408,-0.00014401458865262408
1.0,0.8421052631578947,1.0,0.0026392755223222063,0.0026392755223222063,0.0,0.0
1.0,0.894736842105263,0.5,0.000411124659995255,0.0004111246599952548,-0.002228150862326951,-0.0022281508623269515
1.0,0.894736842105263,0.5263157894736842,0.0004926852280051646,0.0004926852280051543,-0.0021465902943170415,-0.002146590294317052
1.0,0.894736842105263,0.5526315789473684,0.0005793922804884058,0.0005793922804884059,-0.0020598832418338006,-0.0020598832418338006
1.0,0.894736842105263,0.5789473684210527,0.0006710037879663317,0.0006710037879663317,-0.0019682717343558745,-0.0019682717343558745
1.0,0.894736842105263,0.6052631578947368,0.0007672791365038843,0.0007672791365038843,-0.001871996385818322,-0.001871996385818322
1.0,0.894736842105263,0.631578947368421,0.0008679961658930593,0.0008679961658930596,-0.001771279356429147,-0.0017712793564291468
1.0,0.894736842105263,0.6578947368421053,0.0009729432144319304,0.0009729432144319304,-0.0016663323078902757,-0.0016663323078902757
1.0,0.894736842105263,0.6842105263157895,0.0010819049417407475,0.0010819049417407475,-0.0015573705805814588,-0.0015573705805814588
1.0,0.894736842105263,0.7105263157894737,0.001194699773399726,0.001194699773399726,-0.0014445757489224803,-0.0014445757489224803
1.0,0.894736842105263,0.7368421052631579,0.0013111391340716585,0.0013111391340716585,-0.0013281363882505478,-0.0013281363882505478
1.0,0.894736842105263,0.763157894736842,0.0014310047415481847,0.0014310047415481847,-0.0012082707807740216,-0.0012082707807740216
1.0,0.894736842105263,0.7894736842105263,0.00155419224390158,0.00155419224390158,-0.0010850832784206263,-0.0010850832784206263
1.0,0.894736842105263,0.8157894736842105,0.0016804719467505562,0.0016804719467505562,-0.0009588035755716501,-0.0009588035755716501
